our_address,size_bytes,tier,symbol,raw,decoded,equation,units,ca652048_address,description
0x812B,1,HIGH,C_CRK_VS_RR_N_RATIO_OSC,82,82,"X","",0x8126,"Constants Crankshaft Oscillation"
0x812C,1,HIGH,C_CRLC_DLY_AD,1,1,"X","",0x8127,"Constants Fuel Trim and Cat Purge Function"
0x8134,1,HIGH,C_CTR_COM_MAX_SECU_4_IMOB,5,5,"X","",0x8128,"Constants Immobilizer"
0x8135,1,HIGH,C_CTR_DLY_WHEEL_GRD,200,200,"X","",0x8129,"Constants for FTL"
0x8136,1,HIGH,C_CYC_MAX_AE,205,205,"X","",0x812B,"Constants AE, PUR, PUC"
0x8137,1,HIGH,C_CYCNR_DYW_IS,80,80,"X","",0x812C,"Constants ISAPWM"
0x8138,1,HIGH,C_CYCNR_IS,175,175,"X","",0x812D,"Constants ISAPWM"
0x8139,1,HIGH,C_CYCNR_IS_VS,200,200,"X","",0x812E,"Constants ISAPWM"
0x813B,1,HIGH,C_DIAGCP_DIA_MAX,67,67,"X","",0x812F,"Constants Canister Purge Diagnosis"
0x813C,1,HIGH,C_DIAGCP_DIA_MAX_DTP_COR_2,67,67,"X","",0x8130,"Constants Canister Purge Diagnosis"
0x813D,1,HIGH,C_DIAGCP_DIA_MIN,35,35,"X","",0x8131,"Constants Canister Purge Diagnosis"
0x813E,1,HIGH,C_DIAGCP_VOL_MAX,218,218,"X","",0x8132,"Constants Canister Purge Diagnosis"
0x813F,1,HIGH,C_DIAGCP_VOL_MIN,38,38,"X","",0x8133,"Constants Canister Purge Diagnosis"
0x8141,1,MEDIUM,C_DRI_TPS_GRD_MIN_AJ,255,255,"X","",0x8134,"Constants Basic functions, PL, FL"
0x8143,1,HIGH,C_DTP_EVAC_MMV_CRLC,128,128,"X","",0x8135,"Constants DTP slope estimation during evacuation"
0x8144,1,HIGH,C_DTP_EVAC_SLOP_MMV_CRLC,26,26,"X","",0x8136,"Constants DTP slope estimation during evacuation"
0x8145,1,HIGH,C_EOI_N_MAX,157,157,"X","",0x8137,"Constants AE, PUR, PUC"
0x8146,1,HIGH,C_FAC_CP_MAX_FSD,205,205,"X","",0x8138,"Constants Fuel System Diagnosis"
0x8147,1,HIGH,C_FAC_DIAGCP_MDL_BAS,77,77,"X","",0x8139,"Constants Canister Purge Diagnosis"
0x814F,1,HIGH,C_FAC_MIN_CP_DIAGCP,179,179,"X","",0x813A,"Constants Canister Purge Diagnosis"
0x8150,1,HIGH,C_FAC_MIN_P_CP,3,3,"X","",0x813B,"Constants Canister Purge"
0x8154,1,MEDIUM,C_FAC_TRA_KNK,35,35,"X","",0x813C,"Constants knock adaption 1, 2 and KNK"
0x815A,1,MEDIUM,C_FCO_FAC_1,43,43,"X","",0x813E,"Constants Auxiliary functions"
0x815C,1,HIGH,C_FTL_GRD_MAX,14,14,"X","",0x8140,"Constants for FTL"
0x815D,1,HIGH,C_FTL_LIH,128,128,"X","",0x8141,"Constants for FTL"
0x815E,1,MEDIUM,C_FTL_MES_GRD_MAX_DIAG,255,255,"X","",0x8142,"Constants for FTL"
0x815F,1,HIGH,C_FTL_MMV_GAIN,3,3,"X","",0x8143,"Constants for FTL"
0x8160,1,MEDIUM,C_HYS_TAM_ACC_ST,27,27,"X","",0x8144,"Constants Auxiliary functions"
0x8161,1,HIGH,C_IGA_AD_DIF_MAX,8,8,"X","",0x8145,"Constants knock adaption 1, 2 and KNK"
0x8162,1,HIGH,C_IGA_DIF_CYCNR_ER,12,12,"X","",0x8146,"Constants Misfire detection"
0x8163,1,HIGH,C_IGA_DIF_MAX_ER,27,27,"X","",0x8147,"Constants Misfire detection"
0x8164,1,HIGH,C_IGA_DIF_MAX_MIN_KNK,13,13,"X","",0x8148,"Constants knock adaption 1, 2 and KNK"
0x8165,1,HIGH,C_IGA_INC_AD,5,5,"X","",0x8149,"Constants knock adaption 1, 2 and KNK"
0x8166,1,HIGH,C_IGA_LGRD_TQR,255,255,"X","",0x814A,"Constants Traction Control Function"
0x8167,1,HIGH,C_IGA_MAF_HYS_KNK,4,4,"X","",0x814B,"Constants knock adaption 1, 2 and KNK"
0x8168,1,HIGH,C_IGA_MAF_LGRD,33,33,"X","",0x814C,"Constants Basic functions, PL, FL"
0x8169,1,HIGH,C_IGA_MIN_COP,128,128,"X","",0x814D,"Constants Catalyst protection"
0x816A,1,HIGH,C_IGA_N_DIF_FAC_IS,128,128,"X","",0x814E,"Constants IS"
0x816B,1,HIGH,C_IGA_N_HYS_KNK,2,2,"X","",0x814F,"Constants knock adaption 1, 2 and KNK"
0x816C,1,HIGH,C_IGA_VS_MAX_CH,0,0,"X","",0x8150,"Constants Basic functions, PL, FL"
0x816D,1,HIGH,C_IGC_DUR_N_MAX_DIAG,141,141,"X","",0x8151,"Constants Spark advance diagnosis"
0x816F,1,MEDIUM,C_ISAPWM_2_1,13,13,"X","",0x8152,"Constants ISA"
0x8170,1,HIGH,C_ISAPWM_2_1_CFA,7,7,"X","",0x8153,"Constants CFA 2 speed control"
0x8171,1,HIGH,C_ISAPWM_2_1_LGRD,20,20,"X","",0x8154,"Constants ISA"
0x8172,1,HIGH,C_ISAPWM_2_3_CFA,17,17,"X","",0x8155,"Constants CFA 2 speed control"
0x8173,1,HIGH,C_ISAPWM_3_0_1_CFA,15,15,"X","",0x8156,"Constants CFA 3 speed control"
0x8174,1,HIGH,C_ISAPWM_3_0_2_CFA,26,26,"X","",0x8157,"Constants CFA 3 speed control"
0x8175,1,HIGH,C_ISAPWM_3_0_3_CFA,34,34,"X","",0x8158,"Constants CFA 3 speed control"
0x8176,1,HIGH,C_ISAPWM_3_1_1_CFA,24,24,"X","",0x8159,"Constants CFA 3 speed control"
0x8177,1,HIGH,C_ISAPWM_3_1_2_CFA,31,31,"X","",0x815A,"Constants CFA 3 speed control"
0x8178,1,HIGH,C_ISAPWM_3_1_3_CFA,41,41,"X","",0x815B,"Constants CFA 3 speed control"
0x8179,1,HIGH,C_ISAPWM_ACCIN_AD_FAC,128,128,"X","",0x815C,"Constants ISAPWM"
0x817A,1,HIGH,C_ISAPWM_ACCIN_DEC_TRA,4,4,"X","",0x815D,"Constants ISA"
0x817B,1,HIGH,C_ISAPWM_ACCIN_LGRD,2,2,"X","",0x815E,"Constants ISA"
0x817C,1,HIGH,C_ISAPWM_CRLC_DIAG,26,26,"X","",0x815F,"Constants ISA Diagnosis"
0x817D,1,HIGH,C_ISAPWM_CRLC_IS,5,5,"X","",0x8160,"Constants ISAPWM"
0x817E,1,HIGH,C_ISAPWM_DRI_DEC_TRA,12,12,"X","",0x8161,"Constants ISA"
0x817F,1,HIGH,C_ISAPWM_DRI_INC_TRA,41,41,"X","",0x8162,"Constants ISA"
0x8180,1,HIGH,C_ISAPWM_INC_2_0_CFA,0,0,"X","",0x8163,"Constants CFA 2 speed control"
0x8181,1,HIGH,C_ISAPWM_INC_2_1_CFA,0,0,"X","",0x8164,"Constants CFA 2 speed control"
0x8182,1,HIGH,C_ISAPWM_INC_3_0_CFA,0,0,"X","",0x8165,"Constants CFA 3 speed control"
0x8183,1,HIGH,C_ISAPWM_INC_3_1_CFA,0,0,"X","",0x8166,"Constants CFA 3 speed control"
0x8184,1,HIGH,C_ISAPWM_ISA_DIAG_1,13,13,"X","",0x8167,"Constants ISA Diagnosis"
0x8185,1,HIGH,C_ISAPWM_ISA_DIAG_2,244,244,"X","",0x8168,"Constants ISA Diagnosis"
0x8186,1,HIGH,C_ISAPWM_ISA_DIAG_3,244,244,"X","",0x8169,"Constants ISA Diagnosis"
0x8187,1,HIGH,C_ISAPWM_ISA_DIAG_4,13,13,"X","",0x816A,"Constants ISA Diagnosis"
0x8188,1,HIGH,C_ISAPWM_LGRD,4,4,"X","",0x816B,"Constants idle speed regulation"
0x8189,1,HIGH,C_ISAPWM_LGRD_2_0_CFA,2,2,"X","",0x816C,"Constants CFA 2 speed control"
0x818A,1,HIGH,C_ISAPWM_LGRD_2_1_CFA,2,2,"X","",0x816D,"Constants CFA 2 speed control"
0x818B,1,HIGH,C_ISAPWM_LGRD_3_0_CFA,2,2,"X","",0x816E,"Constants CFA 3 speed control"
0x818C,1,HIGH,C_ISAPWM_LGRD_3_1_CFA,2,2,"X","",0x816F,"Constants CFA 3 speed control"
0x818D,1,HIGH,C_ISAPWM_LGRD_ACCIN,20,20,"X","",0x8170,"Constants ISA"
0x818E,1,HIGH,C_ISAPWM_LGRD_CH,3,3,"X","",0x8171,"Constants ISA"
0x818F,1,HIGH,C_ISAPWM_LGRD_D,20,20,"X","",0x8172,"Constants idle speed regulation"
0x8190,1,HIGH,C_ISAPWM_LGRD_DEC_2_CFA,2,2,"X","",0x8173,"Constants CFA 2 speed control"
0x8191,1,HIGH,C_ISAPWM_LGRD_DEC_3_CFA,2,2,"X","",0x8174,"Constants CFA 3 speed control"
0x8192,1,HIGH,C_ISAPWM_LGRD_ST_ACCIN,20,20,"X","",0x8175,"Constants ISA"
0x8193,1,HIGH,C_ISAPWM_LGRD_TPS_CH,5,5,"X","",0x8177,"Constants ISA"
0x8194,1,HIGH,C_ISAPWM_PSTE_TRA_LGRD,10,10,"X","",0x8178,"Constants Power Steering Load"
0x8195,1,HIGH,C_LAM_AD_SUM_P,5,5,"X","",0x8179,"Constants lambda adaption"
0x8196,1,HIGH,C_LAM_AD_SUM_P_IS,5,5,"X","",0x817A,"Constants lambda adaption"
0x8197,1,HIGH,C_LAM_LDC_SUM_P,3,3,"X","",0x817B,"Constants catalyst efficiency diagnosis"
0x8198,1,HIGH,C_LAM_MAX_CYCNR,255,255,"X","",0x817C,"Constants Canister Purge"
0x819A,1,HIGH,C_LAM_MV_CRLC,20,20,"X","",0x817D,"Constants Canister Purge"
0x819B,1,HIGH,C_LAM_MV_DYW,9,9,"X","",0x817E,"Constants lambda adaption"
0x819C,1,HIGH,C_LAM_N_MIN,0,0,"X","",0x817F,"Constants O2 sensors heating, lambda regulation"
0x819D,1,HIGH,C_LAM_NEG_I_IS,5,5,"X","",0x8180,"Constants O2 sensors heating, lambda regulation"
0x819E,1,HIGH,C_LAM_NEG_P_IS,77,77,"X","",0x8181,"Constants O2 sensors heating, lambda regulation"
0x819F,1,HIGH,C_LAM_POS_I_IS,5,5,"X","",0x8182,"Constants O2 sensors heating, lambda regulation"
0x81A0,1,HIGH,C_LAM_POS_P_IS,77,77,"X","",0x8183,"Constants O2 sensors heating, lambda regulation"
0x81A1,1,HIGH,C_LAM_SUM_P_IS,0,0,"X","",0x8185,"Constants O2 sensors heating, lambda regulation"
0x81A2,1,HIGH,C_LAM_TEMP_HYS_CAT_DLY,23,23,"X","",0x8188,"Constants Fuel Trim and Cat Purge Function"
0x81A3,1,HIGH,C_LAM_TEMP_MIN_CAT_DLY,108,108,"X","",0x8189,"Constants Fuel Trim and Cat Purge Function"
0x81A4,1,HIGH,C_LAM_TRA_FAC_DIAGCP,0,0,"X","",0x818A,"Constants Canister Purge Diagnosis"
0x81A5,1,HIGH,C_LGRD_TQR_DEC_DIAG,3,3,"X","",0x818B,"Constants Traction Control Function"
0x81A6,1,HIGH,C_LOAD_MIN_PERC_MAX_TH_DIAG,128,128,"X","",0x818C,"constants coolant thermostat diagnosis"
0x81A7,1,HIGH,C_LSHPWM_DIF_PUC,1,1,"X","",0x8192,"Constants O2 sensors heating, lambda regulation"
0x81A8,1,HIGH,C_LSHPWM_MIN_DIAG,0,0,"X","",0x819B,"Constants O2 sensors heating, lambda regulation"
0x81A9,1,MEDIUM,C_LSHPWM_MIN_LSH_DOWN_DIAG,26,26,"X","",0x819C,"Constants O2 sensors heating, lambda regulation"
0x81AA,1,MEDIUM,C_LSHPWM_T_FAC,64,64,"X","",0x819D,"Constants O2 sensors heating, lambda regulation"
0x81AB,1,MEDIUM,C_LSHPWM_T_FAC_CAT,90,90,"X","",0x819E,"Constants catalyst efficiency diagnosis"
0x81AC,1,HIGH,C_MAF_CRLC_INF,128,128,"X","",0x819F,"Constants Auxiliary functions"
0x81AD,1,HIGH,C_MAF_CRLC_IS,51,51,"X","",0x81A0,"Constants Auxiliary functions"
0x81AE,1,HIGH,C_MAF_DYW,18,18,"X","",0x81A1,"Constants lambda adaption"
0x81AF,1,HIGH,C_MAF_FAC_ALTI_CRLC,13,13,"X","",0x81A2,"Constants altitude correction"
0x81B0,1,HIGH,C_MAF_FAC_ALTI_DIF_MAX_PUC,3,3,"X","",0x81A3,"Constants altitude correction"
0x81B1,1,HIGH,C_MAF_FAC_ALTI_DIF_MIN_PUC,1,1,"X","",0x81A4,"Constants altitude correction"
0x81B2,1,HIGH,C_MAF_FAC_ALTI_IS_CP,64,64,"X","",0x81A5,"Constants Canister Purge"
0x81B3,1,HIGH,C_MAF_FAC_ALTI_MAX_DIAGCP,93,93,"X","",0x81A6,"Constants Canister Purge Diagnosis"
0x81B4,1,HIGH,C_MAF_FAC_ALTI_MAX_FSD,90,90,"X","",0x81A7,"Constants Fuel System Diagnosis"
0x81B5,1,HIGH,C_MAF_FAC_ALTI_MMV_MAX,141,141,"X","",0x81A8,"Constants altitude correction"
